OBJECTID,SAP_NAME,SAP_PLANT_NO,SAP_PLANT_NAME,SAP_KM_NAME,SAP_CANAL_ID,SAP_FUNC_LOC,FL_DESC,Shape__Length,GlobalID
1845,Kennet & Avon Canal - 043,9800,Kennet and Avon,KA Length 043,KA,KA-043,KA Kennet & Avon Canal - 043,0.0142057701116871,5bc131e7-11e6-474a-a1c3-f08d424dfcae
1846,Kennet & Avon Canal - 044,9800,Kennet and Avon,KA Length 044,KA,KA-044,KA Kennet & Avon Canal - 044,0.0133996120876742,30ac826e-7bcf-4676-b0b3-268b5f6e11ac
1847,Kennet & Avon Canal - 046,9800,Kennet and Avon,KA Length 046,KA,KA-046,KA Kennet & Avon Canal - 046,0.013838133588599,adbf32ef-ecc5-45f5-9e60-58393850f5c3
1848,Kennet & Avon Canal - 047,9800,Kennet and Avon,KA Length 047,KA,KA-047,KA Kennet & Avon Canal - 047,0.0133720851749913,962c7856-b031-442b-938f-92f2e1b3a22c
1849,Kennet & Avon Canal - 048,9800,Kennet and Avon,KA Length 048,KA,KA-048,KA Kennet & Avon Canal - 048,0.0130556314303751,5bfaa1b9-6718-44f4-afd5-2eb9579196a9
1850,Kennet & Avon Canal - 045,9800,Kennet and Avon,KA Length 045,KA,KA-045,KA Kennet & Avon Canal - 045,0.0139034289458922,ec33971c-3b0b-4165-a317-dd8884e312bb
1851,Kennet & Avon Canal - 049,9800,Kennet and Avon,KA Length 049,KA,KA-049,KA Kennet & Avon Canal - 049,0.0105947951003879,283e67ba-a299-4516-bbe1-3c337418aa82
1852,Kennet & Avon Canal - 038,9800,Kennet and Avon,KA Length 038,KA,KA-038,KA Kennet & Avon Canal - 038,0.0142704504397878,df3455f6-0e15-4f4e-9a77-58c55768864b
1853,Kennet & Avon Canal - 026,9800,Kennet and Avon,KA Length 026,KA,KA-026,KA Kennet & Avon Canal - 026,0.0143069397755941,e5eb7a26-da8b-45d8-b5d0-e93396e31b68
1854,Kennet & Avon Canal - 027,9800,Kennet and Avon,KA Length 027,KA,KA-027,KA Kennet & Avon Canal - 027,0.0131692463765453,9df92a7b-3ffa-4c13-8851-092a420236be
1855,Kennet & Avon Canal - 024,9800,Kennet and Avon,KA Length 024,KA,KA-024,KA Kennet & Avon Canal - 024,0.0141143924111614,92f3d938-ece6-490f-b7fb-fca41a50cfa0
1856,Kennet & Avon Canal - 025,9800,Kennet and Avon,KA Length 025,KA,KA-025,KA Kennet & Avon Canal - 025,0.0143257382047147,519f673f-dc8e-45f9-98ff-b82ae4dfee97
1857,Kennet & Avon Canal - 021,9800,Kennet and Avon,KA Length 021,KA,KA-021,KA Kennet & Avon Canal - 021,0.0142384790139565,f47e573e-6b98-4cf1-881a-f3ad98e93b50
1858,Kennet & Avon Canal - 022,9800,Kennet and Avon,KA Length 022,KA,KA-022,KA Kennet & Avon Canal - 022,0.0140084638943003,37f345f4-48fd-40ba-b27b-fbaca5f52847
1859,Kennet & Avon Canal - 023,9800,Kennet and Avon,KA Length 023,KA,KA-023,KA Kennet & Avon Canal - 023,0.0141687882297911,e8f6701f-f3e1-4a11-8439-0610c6a97af7
1860,Kennet & Avon Canal - 019,9800,Kennet and Avon,KA Length 019,KA,KA-019,KA Kennet & Avon Canal - 019,0.014004806719074,77227cff-5a66-4d4d-a9df-2fd60f7076dd
1861,Kennet & Avon Canal - 020,9800,Kennet and Avon,KA Length 020,KA,KA-020,KA Kennet & Avon Canal - 020,0.0135898108937706,a0063e9f-7682-4ad0-b941-9a1333de058d
1862,Kennet & Avon Canal - 017,9800,Kennet and Avon,KA Length 017,KA,KA-017,KA Kennet & Avon Canal - 017,0.0131140436665986,3b3adf05-0082-4d2a-b5ed-222eb3c0f5c0
1863,Kennet & Avon Canal - 018,9800,Kennet and Avon,KA Length 018,KA,KA-018,KA Kennet & Avon Canal - 018,0.00209428734252732,f8bee6e1-a3ff-40ff-9f7e-474b5eb3b65e
1864,Kennet & Avon Canal - 018,9800,Kennet and Avon,KA Length 018,KA,KA-018,KA Kennet & Avon Canal - 018,0.010750770156709,caf5737a-b4f7-42ab-91d0-9bb1985be991
1865,Kennet & Avon Canal - 016,9800,Kennet and Avon,KA Length 016,KA,KA-016,KA Kennet & Avon Canal - 016,0.0135849834326615,9582110d-0ed6-4dde-937b-3ea2a7d8afcb
1866,Kennet & Avon Canal - 010,9800,Kennet and Avon,KA Length 010,KA,KA-010,KA Kennet & Avon Canal - 010,0.0125488642798089,1eb90efc-9ee9-45cb-b253-8123e55055d5
1867,Kennet & Avon Canal - 011,9800,Kennet and Avon,KA Length 011,KA,KA-011,KA Kennet & Avon Canal - 011,0.0134482042479301,ecdd4028-0ae0-43e7-a3f8-b1c9d759c40f
1868,Kennet & Avon Canal - 012,9800,Kennet and Avon,KA Length 012,KA,KA-012,KA Kennet & Avon Canal - 012,0.0130716054221139,5bbdb497-f5e3-4b7e-b5fe-de7734100308
1869,Kennet & Avon Canal - 007,9800,Kennet and Avon,KA Length 007,KA,KA-007,KA Kennet & Avon Canal - 007,0.0137529328857698,a302c6f4-c31f-4c3f-a3bc-0c8e6f8e9c38
1870,Kennet & Avon Canal - 008,9800,Kennet and Avon,KA Length 008,KA,KA-008,KA Kennet & Avon Canal - 008,0.0136695499590043,d3762fa0-80f0-4368-9f1e-5d86a9710657
1871,Kennet & Avon Canal - 009,9800,Kennet and Avon,KA Length 009,KA,KA-009,KA Kennet & Avon Canal - 009,0.0134328939702752,cf7a0bd4-7860-40ba-9534-1d334ad12c1e
1872,Kennet & Avon Canal - 004,9800,Kennet and Avon,KA Length 004,KA,KA-004,KA Kennet & Avon Canal - 004,0.0138679896258827,b3608789-42d9-4c78-950f-98543f5b92fa
1873,Kennet & Avon Canal - 005,9800,Kennet and Avon,KA Length 005,KA,KA-005,KA Kennet & Avon Canal - 005,0.0136296274512332,fe98d64b-6ee2-4887-b24b-b61df56dd95d
1874,Kennet & Avon Canal - 006,9800,Kennet and Avon,KA Length 006,KA,KA-006,KA Kennet & Avon Canal - 006,0.019507501010483,31e36e3e-4b2d-4267-a004-dc269658b4cb
1875,Kennet & Avon Canal - 003,9800,Kennet and Avon,KA Length 003,KA,KA-003,KA Kennet & Avon Canal - 003,0.0116419076749974,a8af280e-9225-4657-8f11-660d381e1fd9
1876,Kennet & Avon Canal - 107,9800,Kennet and Avon,KA Length 107,KA,KA-107,KA Kennet & Avon Canal - 107,0.0136535919505865,04359e41-d6da-438e-a588-e870ba951986
1877,Kennet & Avon Canal - 108,9800,Kennet and Avon,KA Length 108,KA,KA-108,KA Kennet & Avon Canal - 108,0.013328585110933,f3fd9089-3114-4780-bdef-408b3788657f
1878,Kennet & Avon Canal - 109,9800,Kennet and Avon,KA Length 109,KA,KA-109,KA Kennet & Avon Canal - 109,0.0119653650541867,35df6e0a-5e8f-4b8a-8ed2-4ad9068b1953
1879,Kennet & Avon Canal - 106,9800,Kennet and Avon,KA Length 106,KA,KA-106,KA Kennet & Avon Canal - 106,0.0124384357855709,b45363b1-39b0-4f84-8b1c-e4cd1ebc8ef8
1880,Kennet & Avon Canal - 111,9800,Kennet and Avon,KA Length 111,KA,KA-111,KA Kennet & Avon Canal - 111,0.0103521158677506,554814a9-8d13-4b50-bcc7-42139d59e28f
1881,Kennet & Avon Canal - 112,9800,Kennet and Avon,KA Length 112,KA,KA-112,KA Kennet & Avon Canal - 112,0.0101526283948125,062bd4e8-5ed4-468d-8db6-66d4a953a4fd
1882,Kennet & Avon Canal - 113,9800,Kennet and Avon,KA Length 113,KA,KA-113,KA Kennet & Avon Canal - 113,0.0107305168870498,5c97848e-114b-4180-af7c-89f65ae2939b
1883,Kennet & Avon Canal - 110,9800,Kennet and Avon,KA Length 110,KA,KA-110,KA Kennet & Avon Canal - 110,0.0138761485416499,802a544f-1a10-47b6-9211-08646b4b8209
1884,Kennet & Avon Canal - 115,9800,Kennet and Avon,KA Length 115,KA,KA-115,KA Kennet & Avon Canal - 115,0.0122063915026711,43eaac23-6176-4093-9fa5-3262590697d1
1885,Kennet & Avon Canal - 116,9800,Kennet and Avon,KA Length 116,KA,KA-116,KA Kennet & Avon Canal - 116,0.00950349373355492,777c15f9-c6b3-46ac-8792-b1c008a41a60
1886,Kennet & Avon Canal - 117,9800,Kennet and Avon,KA Length 117,KA,KA-117,KA Kennet & Avon Canal - 117,0.011484540499631,70b8b1dc-394d-4243-a970-061a61b37a85
1887,Kennet & Avon Canal - 118,9800,Kennet and Avon,KA Length 118,KA,KA-118,KA Kennet & Avon Canal - 118,0.013765859009131,ae2540ff-7d33-4d90-9964-db8f0c4d96fa
1888,Kennet & Avon Canal - 119,9800,Kennet and Avon,KA Length 119,KA,KA-119,KA Kennet & Avon Canal - 119,0.013251173236291,0e3824bf-abe4-4884-8b27-f605dfafdd41
1889,Kennet & Avon Canal - 114,9800,Kennet and Avon,KA Length 114,KA,KA-114,KA Kennet & Avon Canal - 114,0.00960598186408451,31e4ece7-a338-4e2f-ae02-f8a868827cf5
1890,Kennet & Avon Canal - 126,9800,Kennet and Avon,KA Length 126,KA,KA-126,KA Kennet & Avon Canal - 126,0.0121692963114803,d1c56a82-0489-40cb-b1e7-91cec4d14220
1891,Kennet & Avon Canal - 127,9800,Kennet and Avon,KA Length 127,KA,KA-127,KA Kennet & Avon Canal - 127,0.0134843202203317,ef108150-7745-4eff-ad11-49a2b7ed30da
1892,Kennet & Avon Canal - 128,9800,Kennet and Avon,KA Length 128,KA,KA-128,KA Kennet & Avon Canal - 128,0.0131833301347939,3a08ae6d-fd9c-4b0e-b129-8875c60f25b8
1893,Kennet & Avon Canal - 125,9800,Kennet and Avon,KA Length 125,KA,KA-125,KA Kennet & Avon Canal - 125,0.0121314589317125,c4f528d0-b3cc-4388-85ea-46496e73d2db
1894,Kennet & Avon Canal - 129,9800,Kennet and Avon,KA Length 129,KA,KA-129,KA Kennet & Avon Canal - 129,0.00362494615148085,66f260d6-8e30-4277-b9c8-45a4d90f40c8
1895,Kennet & Avon Canal - 129,9800,Kennet and Avon,KA Length 129,KA,KA-129,KA Kennet & Avon Canal - 129,0.00809750229290031,35e382a8-d79d-4253-b559-12fa1d62e018
1896,Kennet & Avon Canal - 131,9800,Kennet and Avon,KA Length 131,KA,KA-131,KA Kennet & Avon Canal - 131,0.0114742264998915,a852e507-e324-4d45-9711-600f1be16934
1897,Kennet & Avon Canal - 132,9800,Kennet and Avon,KA Length 132,KA,KA-132,KA Kennet & Avon Canal - 132,0.0129612894443455,4c414d81-55ea-439a-8b3e-e8752db7a054
1898,Kennet & Avon Canal - 133,9800,Kennet and Avon,KA Length 133,KA,KA-133,KA Kennet & Avon Canal - 133,0.0133343214534976,3b464276-893e-4e10-a79c-8c24b0436b11
1899,Kennet & Avon Canal - 134,9800,Kennet and Avon,KA Length 134,KA,KA-134,KA Kennet & Avon Canal - 134,0.0131493667125649,0b66ea28-7f49-493d-a526-0b086e85dccf
1900,Kennet & Avon Canal - 130,9800,Kennet and Avon,KA Length 130,KA,KA-130,KA Kennet & Avon Canal - 130,0.0108962677104359,360e726a-dd2c-4afe-a68c-76bba399b16b
1901,Kennet & Avon Canal - 136,9800,Kennet and Avon,KA Length 136,KA,KA-136,KA Kennet & Avon Canal - 136,0.0109376100416894,2f6ed4cf-dc5c-42e3-b4f8-1bfaa3ab0dbd
1902,Kennet & Avon Canal - 137,9800,Kennet and Avon,KA Length 137,KA,KA-137,KA Kennet & Avon Canal - 137,0.0116338840718,80251266-1ee3-4764-b50f-57a9d45431f3
1903,Kennet & Avon Canal - 138,9800,Kennet and Avon,KA Length 138,KA,KA-138,KA Kennet & Avon Canal - 138,0.0129947510739649,df520f43-9fef-4796-895f-eb3ea71198e1
1904,Kennet & Avon Canal - 139,9800,Kennet and Avon,KA Length 139,KA,KA-139,KA Kennet & Avon Canal - 139,0.00770807915738978,bfe7d1fc-9d9d-43c1-bc2e-ca375122f2da
1905,Kennet & Avon Canal - 135,9800,Kennet and Avon,KA Length 135,KA,KA-135,KA Kennet & Avon Canal - 135,0.0126314014778091,dfde2448-599c-4305-a7d9-b6cecb1e09b3
1906,Kennet & Avon Canal - 074,9800,Kennet and Avon,KA Length 074,KA,KA-074,KA Kennet & Avon Canal - 074,0.0136218561379116,f5e06d21-a74a-4533-a096-37ce28079f50
1907,Kennet & Avon Canal - 089,9800,Kennet and Avon,KA Length 089,KA,KA-089,KA Kennet & Avon Canal - 089,0.0143429035687988,c69363a3-10f9-4bd8-8aa7-6668046dca85
